#序号	通用名	剂型	单位	规格	售价	供应商名称	生产日期	库存数量
885	胃乐宁片	片剂	瓶	100s	12.9	南京老山药	12/3/30	18
886	草珊瑚喉宝	片剂	盒	2g*22s	4	南京日辉生物科技	12/3/21	16
887	方氨基酸胶囊	胶囊剂	盒	30s	0	南京圣和药业	12/3/27	15
888	排石颗粒	颗粒剂	盒	5g*6s	16.5	南京同仁堂药夜	12/3/20	11
889	阿奇霉素颗粒	颗粒剂	盒	0.1g*6s	11.5	南京先声东元制药	12/3/21	12
890	阿莫西林克拉维酸钾	颗粒剂	盒	6包	13.2	南京先声东元制药	12/3/31	20
891	利巴韦林分散片	片剂	盒	100mg*24s	9.5	南京先声东元制药	12/3/22	18
892	咳喘宁口服液	口服液	盒	10ml*6s	11	南京先声东元制药	12/3/28	16
893	双氯芬酸钠缓释胶囊(易克)	胶囊剂	盒	24s	16.8	南京易制药	12/3/25	19
894	马来酸多潘立酮片	片剂	盒	30s	13.5	南京长澳制药	12/3/24	6
896	阿莫西林颗粒	颗粒剂	盒	18s*0.125g	11.5	南京长澳制药	12/3/31	18
897	克拉霉素分散片（澳扶安）	片剂	盒	0.125g*12s	13.5	南京长澳制药	12/3/28	9
898	盐酸西不曲明胶囊(澳曲轻)	胶囊剂	套	5MG*30粒*2盒	230	南京长澳制药	12/3/23	9
899	氧氟沙星凝胶(菲宁达)	软膏	支	10G	16.8	南京长澳制药	12/3/28	12
900	重感灵胶囊	胶囊剂	盒	0.5*24s	12	南宁冠峰制药	12/3/27	7
901	元胡止痛片	片剂	瓶	100s	2	南宁市维威制药	12/3/20	18
903	一洗黑（宫廷汉方）	外用洗剂	盒	200ML（100ml+100ml）	65	南阳市澳美来药业	12/3/27	19
904	金双歧（双歧三联活菌片）	片剂	盒	0.5克*24粒	18	内蒙古双奇药业	12/3/21	5
905	头孢氨苄胶囊	胶囊剂	盒	50s	6	宁波大红鹰药业	12/3/25	5
906	甲氧氯普胺片（胃复安）	片剂	瓶	5mg*100s	1.5	宁国邦宁制药	12/3/22	17
908	吉福士（磷酸铝凝胶）	口服液	盒	16g*5s	21	葡萄王生技	12/3/19	9
909	思考林(胞磷胆碱钠胶囊)	胶囊剂	盒	0.1g*12s	19	齐鲁制药	12/3/27	10
910	鼻通生态液	滴剂	瓶	15ML	22	苗族医药技术	12/3/23	7
911	对乙酰氨基酚片	片剂	瓶	0.5g*100s	4	秦皇岛秦尔药业	12/3/19	15
912	快胃片	片剂	瓶	90粒	8.8	青岛国风药业	12/3/21	7
913	硝苯地平缓释片II（伲福达）	片剂	瓶	20mg*30s	18.8	青岛黄海制药	12/3/22	16
914	卓玛丹二十五味鬼臼丸	丸剂	盒	0.25g*60s	88	青海柴达木	12/3/22	15
915	坐珠达西	胶囊剂	盒	18s	468	青海金诃藏药药业	12/3/29	12
916	二十五味鬼丸	丸剂	盒	60S	16	青海晶珠藏药集团	12/3/18	11
917	果醋胶囊	胶囊剂	盒	60s	75	青海西戎康健科技发展	12/3/29	9
918	灵源万应茶	颗粒剂	盒	5g*12s	10.8	泉州灵源药业	12/3/27	12
919	创口愈盒膏	软膏	盒	20g	14	泉州泉港旭春 	12/3/22	15
920	痘痘消软膏	软膏	盒	20g	17	泉州泉港旭春 	12/3/29	14
921	妇毒清软膏	软膏	盒	20g	17	泉州泉港旭春 	12/3/30	11
922	清火栀麦胶囊	胶囊剂	盒	0.25g*20s	6.8	泉州中侨集团	12/3/28	9
923	安痛消	外用洗剂	瓶	90ml	65	日本东芝株式会社	12/3/22	10
924	野菜瘦	片剂	罐	30s	128	日本宣姿株式会社	12/3/31	9
925	甲壳素软胶囊	胶囊剂	盒	40g*60s	88	荣成鸿洋生物	12/3/28	18
926	鱼油胶丸	胶囊剂	瓶	100g100s	59	荣成鸿洋生物	12/3/28	16
927	卵磷脂软胶囊	胶囊剂	瓶	140g*100s	59	荣成鸿洋生物	12/3/21	10
928	大豆异黄酮	胶囊剂	瓶	40g*60s	99	荣成鸿洋生物	12/3/29	18
929	番茄红素软胶囊	胶囊剂	瓶	40g*60s	95	荣成鸿洋生物	12/3/26	12
930	蜂王浆软胶囊	胶囊剂	瓶	40g*60s	98	荣成鸿洋生物	12/3/26	19
931	葛根软胶囊	胶囊剂	瓶	40g*60s	125	荣成鸿洋生物	12/3/29	10
932	银杏软胶囊	胶囊剂	瓶	40g*60s	88	荣成鸿洋生物	12/3/29	17
933	月见草油软胶囊	胶囊剂	瓶	40g*60s	125	荣成鸿洋生物	12/3/31	7
934	蜂胶软胶囊	胶囊剂	瓶	42g*60s	70	荣成鸿洋生物	12/3/24	18
935	小麦胚芽油	胶囊剂	瓶	42g*60s	68	荣成鸿洋生物	12/3/22	6
936	综盒维生素胶囊	胶囊剂	瓶	60g*60s	78	荣成鸿洋生物	12/3/16	9
937	B族维生素片	胶囊剂	瓶	63g*90s	85	荣成鸿洋生物	12/3/26	11
938	铁质叶酸片	胶囊剂	瓶	72g*90s	98	荣成鸿洋生物	12/3/21	13
939	钙镁片	胶囊剂	瓶	96g*120s	78	荣成鸿洋生物	12/3/25	9
949	芦荟软胶囊	胶囊剂	瓶	700mg*100s	77	荣成市鸿洋神海洋生物	12/3/21	8
950	胶原蛋白软胶囊(澳能)	胶囊剂	瓶	1000mg*60s	118	荣成市鸿洋神海洋生物	12/3/20	5
951	缬沙坦胶囊代文)	胶囊剂	盒	80mg*7s	36.8	瑞士诺华许可制造	12/3/20	6
952	扶他捷(双氯芬酸钾片)	片剂	盒	25ng10S	11.6	瑞士诺华制造	12/3/17	11
953	复方田七胃痛胶囊	胶囊剂	盒	40s	10.8	桂林三金生物药业	12/3/16	12
954	玉叶解毒颗粒	颗粒剂	盒	12g*12s	6.5	湖南三金制药	12/3/24	20
955	小儿止泻冲剂	颗粒剂	盒	10g*9袋	12.5	三九黄石制药厂	12/3/26	10
956	三九氨基酸口服液	口服液	盒	250ml*2S	78	三九企业集团	12/3/22	10
957	*三九胃泰胶囊	胶囊剂	盒	12‘s	10.8	三九医药	12/3/31	17
958	三九感冒灵胶囊	胶囊剂	盒	12‘s	8.6	三九医药	12/3/16	13
959	三九感冒灵冲剂	颗粒剂	盒	10g×9袋	7.4	三九医药	12/3/16	8
960	正天丸	丸剂	盒	6g×10袋	11.8	三九医药	12/3/21	20
961	酚麻美软胶囊	胶囊剂	盒	12s	12.5	沙江万联药业	12/3/27	15
962	美国西洋参含片	片剂	盒	12s	8	厦门福来了品	12/3/22	16
963	圣菲西洋参胶囊	胶囊剂	盒	500mg*12s	8	厦门福来了食品	12/3/22	5
964	美国西洋参含片（鑫康利）	片剂	盒	1250mg*12s	8	厦门福来了食品	12/3/18	17
965	胖大海含片	片剂	盒	2g*22s	3	厦门福来了食品	12/3/28	19
966	西洋参丸	丸剂	盒	500mg*12s	8	厦门福来了食品	12/3/20	6
967	金银花含片	片剂	盒	2g*22s	3	厦门福来了食品	12/3/27	19
968	芦荟胶囊	胶囊剂	盒	300mg*24s	25	厦门福宁春食品	12/3/31	15
969	金日团圆礼盒	口服液	盒	200ml	135	厦门金日制药	12/3/31	6
970	冰糖燕窝	口服液	盒	8s*70ml	158	厦门金日制药	12/3/27	9
971	资生原名虫草鸡精	口服液	盒	8瓶*70ml	88	厦门金日制药	12/3/26	5
972	金日西洋参含片	片剂	盒	12s	8	厦门金日制药	12/3/17	17
973	复方地塞米松凝胶	软膏	盒	20G	5.5	厦门金日制药	12/3/21	5
974	金日先锋6号胶囊（头孢拉定）	胶囊剂	盒	250mg*24粒	9	厦门金日制药	12/3/30	10
975	美国洋参袋泡茶	颗粒剂	盒	20s*2g	55	厦门金日制药出品	12/3/21	6
976	羧甲司坦颗粒	颗粒剂	盒	0.5g*6S	6.5	厦门迈克制药	12/3/28	7
977	气血双补	口服液	盒	280ml	45	厦门喜之源实业	12/3/21	14
978	蜂灵宝胶囊	胶囊剂	盒	350mg*12s*12盒	149	厦门喜之源实业	12/3/26	20
979	宝宝吃饭香	口服液	盒	10ml*10s	38	厦门喜之源实业	12/3/24	14
980	冬虫夏草菌丝体口服液	口服液	盒	280ml*2S	128	厦门喜之源实业	12/3/31	15
981	灵芝鹿茸营养液	口服液	盒	280ml*2瓶	96	厦门喜之源实业	12/3/22	11
982	卵白蛋白多维口服液	口服液	盒	280ml*2瓶	118	厦门喜之源实业	12/3/17	17
983	多维钙咀嚼片	片剂	盒	1000g*60s	38	厦门喜之源实业	12/3/21	20
984	洋参D	口服液	瓶	100ml	5	厦门喜之源实业	12/3/26	18
985	维多奇	片剂	瓶	1000mg*60s	38	厦门喜之源实业	12/3/29	14
986	阿昔洛韦缓释片	片剂	盒	0.2g*12	11.5	厦门星鲨制药	12/3/24	19
989	维生素AD滴剂	口服液	盒	15ml	2	厦门星鲨制药	12/3/26	18
990	酚氨咖敏片	片剂	盒	24s*5板	8.4	厦门星鲨制药	12/3/24	17
991	甘油	口服液	瓶	500g	18	厦门星鲨制药	12/3/31	9
992	鱼肝油乳	口服液	瓶	500ml	8.5	厦门星鲨制药	12/3/21	15
993	维生素E胶丸	丸剂	瓶	100mg*60s	5.2	厦门星鲨制药	12/3/18	11
994	维生素AD胶丸	丸剂	瓶	100s	2	厦门星鲨制药	12/3/21	19
995	维生素A胶丸	丸剂	瓶	100s	3.4	厦门星鲨制药	12/3/24	17
996	胖大海凉茶	颗粒剂	包	16s	7.8	厦门养真食品	12/3/22	13
997	板蓝根含片	片剂	盒	2g*22g	3.5	厦门远信实业	12/3/30	13
998	罗汉果含片	片剂	盒	2g*22s	3.5	厦门远志信实业	12/3/18	15
999	枇杷含片	片剂	盒	2g*22s	3.5	厦门远志信实业	12/3/21	5
1000	清感穿心莲片	片剂	瓶	0.25g*100	2.5	厦门中药厂	12/3/18	14
1001	八宝丹胶囊	胶囊剂	盒	0.3g*10s	85	厦门中药厂	12/3/29	20
1002	通脉降脂片	片剂	盒	80s	15	厦门中药厂	12/3/31	17
1003	新癀片	胶囊剂	盒	0.32g*36s	17.2	厦门中药厂	12/3/30	12
1004	肾舒颗粒	颗粒剂	盒	10g*9s	19.8	厦门中药厂	12/3/23	10
1005	海珠喘息定片	片剂	瓶	50粒	5	厦门中药厂	12/3/17	11
1006	儿童消暑颗粒	颗粒剂	包	14s	5	厦市佰勒康食品	12/3/23	9
1007	香菊胶囊	胶囊剂	盒	0.3g*24s	17	山东步长制药	12/3/21	10
1008	阿胶补血颗粒	颗粒剂	盒	4g*60s	98	山东东阿阿胶	12/3/31	8
1009	阿胶液体	口服液	盒	20ml*12s	49.8	山东东阿阿胶	12/3/28	17
1010	复方阿胶浆	口服液	盒	20毫升*48支	118	山东东阿阿胶	12/3/25	6
1011	阿胶补血膏	口服液	瓶	300g	49.5	山东东阿阿胶	12/3/16	19
1012	牛黄益金片	片剂	盒	32s	15.8	山东方健制药	12/3/17	18
1013	甲砜霉素胶囊	胶囊剂	盒	0.25g*12S	15	山东方明药业	12/3/19	9
1014	新复方大青叶片	片剂	盒	48s	10	山东健民药业	12/3/31	9
1015	盐酸地芬尼多片	片剂	瓶	25mg*30s	1.5	山东莒南制药厂	12/3/22	6
1016	清胃黄连丸	丸剂	盒	9g*6s	12	山东孔圣堂制药	12/3/24	13
1017	栀子金花丸	丸剂	盒	9g*6s	9.5	山东孔圣堂制药	12/3/20	20
1018	尼群地平片	片剂	瓶	10mg*100s	1.5	山东鲁抗辰欣药业	12/3/27	18
1019	头孢拉定干混悬剂	颗粒剂	盒	0.125g*12s	9.8	山东鲁抗医药	12/3/22	18
1020	金果饮咽喉片	片剂	盒	24s	7.5	山东绿因药业	12/3/17	12
1021	健儿消食口服液	口服液	盒	10ml*6s	11.8	山东三九药业	12/3/18	16
1022	治带片	片剂	盒	0.23g*36s	11.8	山东三九药业	12/3/30	17
1023	小儿感冒颗	颗粒剂	盒	10袋	0	山东三九药业	12/3/18	8
1024	感冒清热颗粒	颗粒剂	盒	12g*10包	4.5	山东三九药业	12/3/25	13
1025	小儿咳喘灵口服液	口服液	盒	10ml*6s	11.5	山东三九药业	12/3/16	18
1026	跌打损伤丸	丸剂	盒	90g	11.5	山东三九药业	12/3/21	20
1027	复方百部止咳糖浆	口服液	瓶	100ml	11.5	山东三九药业	12/3/24	13
1028	加味益母草膏	口服液	瓶	250g	16.5	山东三九药业	12/3/29	5
1029	康妇炎胶囊	胶囊剂	盒	0.4g489s	41.8	山东神州制药	12/3/30	9
1030	盐酸苯乙双胍片（降糖灵）	片剂	瓶	100s*25mg	1.8	山东省莒南制药厂	12/3/19	17
1031	盐酸普罗帕酮片(心律平）	片剂	瓶	50mg*50s	2.5	山东省莒南制药厂	12/3/29	10
1032	复盒维生素片（女士型）	片剂	罐	120s	98	山东寿光澳莱卡	12/3/23	5
1033	深海多烯鱼油软胶囊	胶囊剂	盒	100s	68	山东寿光澳莱卡	12/3/31	8
1034	大豆异黄酮软胶囊	胶囊剂	盒	120s	108	山东寿光澳莱卡	12/3/24	10
1035	蜂灵软胶囊	胶囊剂	盒	120s	98	山东寿光澳莱卡	12/3/17	7
1036	复盒维生素（男士型）	胶囊剂	盒	120s	98	山东寿光澳莱卡	12/3/28	18
1037	综盒氨基酸软胶囊	胶囊剂	盒	120s	98	山东寿光澳莱卡	12/3/17	18
1038	大蒜油软胶囊	胶囊剂	盒	300s	90	山东寿光澳莱卡	12/3/29	17
1039	芦蔡荟胶囊	胶囊剂	盒	80s	88	山东寿光澳莱卡	12/3/22	17
1040	羊胎素软胶囊	胶囊剂	盒	80s	128	山东寿光澳莱卡	12/3/18	13
1041	VC+VE片	片剂	盒	100s	98	山东寿光澳莱卡	12/3/29	17
1042	果味维C咀嚼片	片剂	盒	100s	78	山东寿光澳莱卡	12/3/26	6
1043	复盒维生素片（儿童型）	片剂	盒	120S	98	山东寿光澳莱卡	12/3/27	20
1044	褪黑素片(新生命元)	片剂	盒	150s	88	山东寿光澳莱卡	12/3/29	12
1045	破壁灵芝孢子粉软胶囊	胶囊剂	盒	120s	125	山东寿光澳莱卡	12/3/24	15
1046	液体钙软胶囊	胶囊剂	盒	200S	90	山东寿光澳莱卡	12/3/30	19
1047	膳食维生素片	片剂	盒	80s	108	山东寿光澳莱卡	12/3/30	16
1048	大豆卵磷脂软胶囊	胶囊剂	瓶	100s	68	山东寿光澳莱卡	12/3/20	12
1049	清肺宝软胶囊	胶囊剂	瓶	60*680ml	120	山东寿光圣海品	12/3/22	16
1050	银螺胶囊	胶囊剂	瓶	0.39g*100s	128	山东寿光圣海品	12/3/29	15
1051	强劲钙软胶囊	胶囊剂	瓶	200g*200s	95	山东寿光圣海品	12/3/18	19
1052	骨节康软胶囊	胶囊剂	瓶	40g*60s	95	山东寿光圣海品	12/3/29	10
1053	护肝宝软胶囊	胶囊剂	瓶	60S(40g)	95	山东寿光圣海品	12/3/22	13
1054	氢溴酸右美沙芬分散片	片剂	盒	15mg*12s	9	山东万杰高科技	12/3/19	9
1055	蒙脱石散	颗粒剂	盒	3g*10袋	18	山东仙河药业	12/3/25	7
1056	三七伤药片	片剂	盒	36s	12	山东仙河药业	12/3/22	12
1057	橘红丸	丸剂	盒	7.2g*6s	11	山东仙河药业	12/3/19	13
1058	氢溴右美沙芬口服液	口服液	盒	15mg*10s	15	山东益康药业	12/3/28	8
1059	胃痛定片	片剂	盒	8s	12	山东中圣药业	12/3/30	5
1060	胶体果胶铋胶囊(安特)	胶囊剂	盒	50mg*24	11.8	山西安特生物制药	12/3/26	6
1061	藻酸双酯钠片（PSS）	片剂	瓶	50mg*10s	2	山西津华晖星制药	12/3/28	6
1062	曲克芦丁片	片剂	瓶	60mg*100s	1.8	山西津华晖星制药	12/3/20	9
1063	屏风生脉胶囊	胶囊剂	盒	0.33g*24s	17.5	山西康威制药	12/3/16	6
1064	谓葆（猴头菌提取物颗粒）	颗粒剂	盒	3g*12s无糖	22.5	山西康欣药业	12/3/22	13
1065	香正气胶囊	胶囊剂	盒	0.25g*10s	8.5	山西瑞福莱药业	12/3/28	14
1066	西沙必利胶囊	胶囊剂	盒	24s	15	山西三晋药业	12/3/23	12
1067	克林霉素磷酸酯片	片剂	盒	0.15g*24s	17	山西三晋药业	12/3/23	11
1068	格列本脲片（优降糖）	片剂	瓶	2.5mg*100s	1.8	山西三晋药业	12/3/16	18
1069	氨酚伪麻片II(双解)	片剂	盒	8s+4s	9.5	山西三九同达药业	12/3/27	6
1070	苯妥英钠片	片剂	瓶	51mg*100s	2	山西省临汾健民	12/3/27	14
1071	正柴胡钦胶囊	胶囊剂	盒	12s	13	山西太行药业	12/3/21	6
1072	世保扶(司帕沙星)片	片剂	盒	100mg×6‘s	12.5	山西天丰世保扶制药	12/3/21	11
1073	开胸顺气丸	丸剂	盒	6g*10袋	13.5	山西旺龙药业	12/3/19	13
1074	龙胆泻肝丸	丸剂	盒	6g*10袋	6.8	山西旺龙药业	12/3/30	8
1075	维U颠茄铝胶囊	胶囊剂	盒	24s	14.5	山西鑫煜制药	12/3/16	14
1076	开开乳酸菌素片	片剂	盒	0.4g*30s	5.9	山西亚宝药业集团	12/3/18	16
1077	尼莫地平片	片剂	瓶	20mg*50s	1.8	山西亚集团	12/3/29	16
1078	宫留化丹	丸剂	盒	6g*10	22	山西扬文水制药	12/3/17	13
1079	小儿咽扁颗粒（维童霖）	颗粒剂	盒	4g*6s	8	山西杨文水制药	12/3/31	16
1080	藿香正气丸	丸剂	盒	10s	8.5	山西杨文水制药	12/3/30	15
1081	依托红霉素颗粒	颗粒剂	盒	75mg*10S	12.5	山西远景康业制药	12/3/23	17
1082	氨茶碱片	片剂	瓶	0.1G*100s	1.5	山西云鹏制药	12/3/17	8
1083	葡醛内酯片	片剂	瓶	0.1g*100s	2.5	山西云鹏制药	12/3/20	18
1084	肌苷片	片剂	瓶	0.2g*100s	3.2	山西云鹏制药	12/3/23	8
1085	西咪替丁片	片剂	瓶	0.2g*100s	3	山西云鹏制药	12/3/28	14
1086	复方氢氧化铝片（胃舒平）	片剂	瓶	100s	2	山西云鹏制药	12/3/29	15
1087	吡罗昔康片（炎痛喜康）	片剂	瓶	10mg*100s	1.8	山西云鹏制药	12/3/17	19
1088	硝苯地平片（心痛定）	片剂	瓶	10mg*100s	1	山西云鹏制药	12/3/18	7
1089	硝酸异山梨酯片（消心痛）	片剂	瓶	1mg*100s	1	山西云鹏制药	12/3/28	19
1090	氢氯噻嗪片（双克）	片剂	瓶	25mg*100s	1	山西云鹏制药	12/3/16	12
1091	氫氯噻嗪片	片剂	瓶	25mg*100s	1	山西云鹏制药	12/3/24	12
1092	维生素B12	片剂	瓶	25ug100s	1	山西云鹏制药	12/3/31	20
1093	呋喃妥因肠溶片(呋喃坦丁)	片剂	瓶	50ng*100s	1.8	山西云鹏制药	12/3/24	10
1094	双嘧达莫片	片剂	瓶	25mg*100s	2.5	山西云制药	12/3/19	10
1095	胃复宁胶囊	胶囊剂	盒	24s	17	陕西爱民药业	12/3/25	9
1096	婀娜女人	胶囊剂	盒	60S	156	陕西百年医药科技	12/3/20	9
1097	多种营养氨基酸片	片剂	瓶	1000MG*100s	68	陕西百年医药科技	12/3/16	19
1098	天然维C咀嚼片	片剂	瓶	1000mg*100s	58	陕西百年医药科技	12/3/28	12
1099	苦参碱栓	片剂	盒	5s	12.5	陕西东泰制药	12/3/29	9
1100	聚维酮碘栓	片剂	盒	6S	18	陕西功达制药	12/3/25	6
1101	神龙春	胶囊剂	盒	0.4g*2s	9.8	陕西华龙制药	12/3/29	11
1102	百癣夏塔热片	片剂	盒	45片	18.8	陕西君碧莎	12/3/26	20
1103	心宁片	片剂	盒	36S	23.6	陕西君碧莎制药	12/3/29	17
1104	妇炎灵胶囊(外)	胶囊剂	盒	8s	11.5	陕西科学院制药厂	12/3/28	16
1105	清脑降压片	片剂	盒	0.35g*48s	18	陕西盘龙制药集团	12/3/27	17
1106	腰痛片	片剂	盒	48s	13	陕西盘龙制药集团	12/3/28	7
1107	葡萄糖酸钙片	片剂	瓶	100s	1.8	陕西西岳制药	12/3/27	16
1108	郁金银屑片	片剂	瓶	100s	32	陕西香菊药业集团	12/3/21	15
1109	谓立宁	胶囊剂	盒	0.4g*36S	19.8	陕西中医研究汉唐	12/3/25	19
1110	消炎退热颗粒	颗粒剂	盒	10g*10s	12	陕西中医药研究院汉唐	12/3/24	16
1111	金装卵白蛋白口服液	口服液	盒	10ml*10s	24.8	汕头嘉德生物开发	12/3/22	12
1112	头孢羟氨苄胶囊	胶囊剂	盒	0.25g12s	8.8	汕头金石制药总厂	12/3/21	14
1113	卡托普利片	片剂	瓶	25mg*100s	2.4	汕头金石制药总厂	12/3/22	5
1114	兰悉多兰索拉唑片	片剂	盒	15mg	17.5	汕头经济特区滨	12/3/21	20
1115	清热下火王	颗粒剂	包	16s	4.8	汕头每家宝品	12/3/23	8
1116	熬夜排热颗粒	颗粒剂	包	16s	4.8	汕头每家宝食品	12/3/24	7
1117	嘉德卵白蛋白口服液	口服液	盒	30ml*12s	119	汕头时代生物开发	12/3/23	18
1118	盐酸氨溴索片	片剂	盒	30mg*20s	23.5	上海勃林格殷翰药业	12/3/21	6
1119	胃欣舒胶囊	胶囊剂	盒	24s	22	上海方大药业	12/3/30	13
1120	金眠乐	胶囊剂	盒	0.3G*12S	19.8	上海海特瑞药业	12/3/27	8
1121	黄金搭档	片剂	盒	40s	27.5	上海黄金搭档	12/3/24	16
1122	黄金搭档(老年)	片剂	盒	40s	27.5	上海黄金搭档	12/3/29	12
1123	黄金搭档(男士)	片剂	盒	40s	27.5	上海黄金搭档	12/3/19	8
1124	黄金搭档(女士)	片剂	盒	40s	27.5	上海黄金搭档	12/3/28	14
1125	水果植物复盒片	片剂	瓶	1300mg*100s	127	上海健恒科技发展	12/3/29	7
1126	肾白金(皇仔冻干粉胶囊)	胶囊剂	盒	12盒	165	上海金思嘉食品	12/3/26	17
1127	9F块9减肥胶囊	胶囊剂	盒	0.4*10粒	9.9	上海九 块九	12/3/24	13
1128	九快九润常舒胶囊	胶囊剂	盒	0.35g*10*3盒	29.7	上海九快九生物科技	12/3/21	8
1129	六神丸	丸剂	盒	10s*6瓶	18	上海雷允上药业	12/3/25	16
1130	胰激肽原酶肠溶片	片剂	盒	60单位*60s	16	上海丽珠制药	12/3/23	14
1131	磷酸苯丙哌林胶囊	胶囊剂	盒	26.4mg*24s	8	上海罗福太康药业	12/3/26	15
1132	骨化三醇胶丸（罗盖全）	丸剂	瓶	0.25微克*10粒	45.5	上海罗氏制药	12/3/18	10
1133	头孢拉定拉囊	胶囊剂	盒	0.25g*24s	5.5	上海美优制药	12/3/31	8
1134	氢溴酸右美沙芬糖浆	口服液	瓶	100ml	13.5	上海美优制药	12/3/18	11
1135	甘草怡喉爽含片	片剂	盒	22g	5	上海强生集团	12/3/19	17
1136	泰诺儿童感冒口服溶液	口服液	盒	100ml	18.5	上海强生制药	12/3/29	6
1137	幼儿泰诺林退热滴剂	口服液	盒	15ml	12.5	上海强生制药	12/3/31	20
1138	泰诺感冒片剂	片剂	盒	10片	9	上海强生制药	12/3/21	10
1139	美林布洛芬混悬剂	滴剂	盒	15mL	13.3	上海强生制药	12/3/16	11
1140	小儿伪麻美芬滴剂（艾畅）	滴剂	盒	15ml	15.8	上海强生制药	12/3/20	6
1141	甘草怡喉爽	片剂	盒	22g	4.8	上海强生制药	12/3/23	15
1142	泰诺林	片剂	盒	6s	5.8	上海强生制药	12/3/29	8
1143	美林布洛芬混悬液（儿童退热）	滴剂	瓶	30ml	9.8	上海强生制药	12/3/31	9
1144	美林布洛芬混悬液	口服液	瓶	100ml	19.5	上海强生制药	12/3/17	20
1145	泰诺林儿童退热混悬液	口服液	瓶	100ml	15.5	上海强生制药	12/3/29	11
1146	愈酚伪麻口服溶液	口服液	瓶	100ml	23.8	上海强生制药	12/3/21	6
1147	四季三黄胶囊	胶囊剂	盒	12s	10.5	上海庆安药业宿州	12/3/22	10
1148	卡马西平片	片剂	瓶	100mg*100s	3.5	上海三维制药	12/3/16	10
1149	加盒百服宁片	片剂	盒	10‘s	6.7	上海施贵宝制药	12/3/26	18
1150	开瑞坦(氯雷他定片)	片剂	盒	10mg*6s	18.5	上海先灵葆雅制药	12/3/27	7
1151	罗红霉素干混悬剂	颗粒剂	盒	50MG*6s	5	上海现代制药	12/3/20	19
1152	脑安胶囊	胶囊剂	盒	0.4g*30s	21	上海祥鹤药业	12/3/28	7
1153	盐酸贝那普利片	片剂	盒	10ml*14s	17.5	上海新亚药业闵行	12/3/22	11
1154	辛伐他汀片	片剂	盒	10mg*10s	10	上海信谊万象药业	12/3/28	10
1155	核酪口服溶液	口服液	盒	10ml*6s	10.5	上海旭东海普药业	12/3/28	16
1156	双歧杆菌三联活菌胶囊	胶囊剂	瓶	210MG*24粒	19.8	上海医药(集团)	12/3/29	7
1157	辅酶Q10胶囊	胶囊剂	瓶	10mg*60S	11.5	上海医药信谊总厂	12/3/22	11
1158	培菲康	胶囊剂	瓶	210mG*36s	28	上海医药信谊总厂	12/3/31	20
1159	尼美舒利分散片	片剂	盒	0.1g*6S	6.5	上海云峰药业	12/3/19	18
1160	维生素AD滴剂（伊童欣）	胶囊剂	盒	30s	19	上海中洋	12/3/27	20
1161	感冒清胶囊	胶囊剂	盒	0.5g×12‘s	1.7	深圳金活制药	12/3/22	18
1162	鹰牌野山花旗参含片	片剂	盒	0.7g*12片	9	深圳南山天诚实业	12/3/30	12
1163	口泰(复方氯已定含漱液)	外用洗剂	瓶	200ml	15	深圳南粤药业	12/3/31	6
1164	OB蛋白(瘦身素)	胶囊剂	瓶	500mg*100s	183	深圳生命力发展	12/3/16	20
1165	海王金樽	片剂	盒	18g*6s	38	深圳市海王	12/3/23	15
1166	肝必复软胶囊	胶囊剂	盒	0.5g*12s*2盒	38	深圳市佳泰药业	12/3/21	14
1167	酒前酒后	片剂	盒	4s	15.8	深圳市三也生物科技	12/3/31	15
1168	林大通	胶囊剂	盒	10s	35	深圳市三也生物科技	12/3/17	9
1169	丁细牙痛胶囊	胶囊剂	盒	0.3g*12s	12	深圳市泰康制药	12/3/18	8
1170	排毒养颜胶囊	胶囊剂	命	0.5* 60粒	45	深圳市天赐生物科技	12/3/17	12
1171	太太口服液	口服液	盒	10×10ml	38	深圳太太药业	12/3/18	18
1172	太太静心口服液	口服液	盒	10×15ml	33	深圳太太药业	12/3/20	5
1173	静心口服液	口服液	盒	30支*10ml	105	深圳太太药业	12/3/24	13
1174	太太口服液(魅力装)	口服液	盒	30支×10ml	118	深圳太太药业	12/3/30	19
1175	达力新片(头孢呋辛酯)	片剂	盒	0.25g*6片	13.5	深圳制药厂	12/3/18	19
1176	达力芬(头孢克肟颗粒)	颗粒剂	盒	50ng*6S	8.8	深圳致君制药	12/3/25	8
1177	头孢呋辛酯片（达力新）	片剂	盒	0.25g*6s	13.5	深圳致君制药	12/3/17	11
1178	美迪康(盐酸二甲双胍片)	片剂	盒	0.25g*48s	6.3	深圳中联制药	12/3/22	14
1179	三维B片	片剂	瓶	24s	2.3	神福州海王金象中药	12/3/17	19
1180	感冒炎咳灵片	片剂	盒	36s	12	神福州屏山制药	12/3/26	13
1181	清开灵软胶囊	胶囊剂	盒	12s	16	神威药业	12/3/24	5
1182	解郁安神颗粒	颗粒剂	盒	5g*10袋	9.8	神威药业	12/3/20	13
1183	小儿清肺化痰颗粒	颗粒剂	盒	6g*10袋	9.8	神威药业	12/3/31	14
1184	藿香正气软胶囊	胶囊剂	盒	24s	6.7	神威药业	12/3/18	15
1185	小儿氨酚烷胺颗粒	颗粒剂	盒	12袋	8.5	神威药业	12/3/31	20
1186	利咽解毒颗粒（无蔗糖）	颗粒剂	盒	6g*10袋	8.5	神威药业	12/3/24	12
